Query,Clicks,Impressions,CTR,Position,Cluster,PosBucket
montana advanced pain and spine butte,4,447,0.89,3.94,city-state,4-10
columbus pain center,4,441,0.91,13.22,clinic-name,11-20
pain care clinic,4,440,0.91,45.47,clinic-name,21+
pain management muskogee,4,434,0.92,9.21,generic,4-10
pain clinics of central california visalia,4,432,0.93,7.87,city-state,4-10
presbyterian pain and spine clinic,4,429,0.93,8.5,clinic-name,4-10
water's edge pain clinic yakima,4,427,0.94,8.36,clinic-name,4-10
integrity pain consultants,4,426,0.94,8.96,generic,4-10
arizona pain scottsdale mountain view,4,423,0.95,4.81,city-state,4-10
coastal pain care,4,422,0.95,30.35,clinic-name,21+
dr danny silver,4,419,0.95,6.6,clinic-name,4-10
texas interventional pain institute,4,411,0.97,12.89,city-state,11-20
lake street pain relief center,4,403,0.99,5.01,clinic-name,4-10
miami valley pain center,4,402,1.0,6.8,clinic-name,4-10
solace pain management,4,400,1.0,8.76,generic,4-10
dr patrick oley,4,399,1.0,9.32,clinic-name,4-10
townsend smith,4,398,1.01,6.28,generic,4-10
pain clinic pittsfield ma,4,398,1.01,6.51,city-state,4-10
pain clinic corinth ms,4,385,1.04,9.73,city-state,4-10
dr nelson pain management,4,384,1.04,9.04,clinic-name,4-10
dr ajlouni,4,374,1.07,9.63,clinic-name,4-10
dr poston,4,370,1.08,5.46,clinic-name,4-10
chitra ramasubbu,4,364,1.1,7.99,generic,4-10
swedish pain services,4,362,1.1,7.42,generic,4-10
keystone pain consultants,4,357,1.12,8.65,generic,4-10
"knee pain centers of america: knee pain treatment in michigan | knee pain 
doctors michigan southfield",4,356,1.12,5.16,condition,4-10
dr knox pain management,4,356,1.12,9.69,clinic-name,4-10
regen doctors bethlehem pa,4,352,1.14,8.99,city-state,4-10
dr khan sanford maine,4,346,1.16,6.58,city-state,4-10
pain institute of central california,4,345,1.16,10.96,city-state,11-20
premier spine & pain institute,4,336,1.19,16.83,clinic-name,11-20
dr vish,4,332,1.2,8.39,clinic-name,4-10
danny silver,4,330,1.21,8.68,generic,4-10
trinity pain clinic,4,327,1.22,10.69,clinic-name,11-20
pain and spine specialists of ct,4,327,1.22,12.61,city-state,11-20
pain management prattville al,4,326,1.23,10.26,city-state,11-20
joel friedman maui,4,320,1.25,5.69,generic,4-10
grace point pain management maryville tn,4,311,1.29,7.46,city-state,4-10
southern pain institute,4,311,1.29,9.59,clinic-name,4-10
"dr. brian t. nichol, md",4,310,1.29,7.4,city-state,4-10
athens limestone pain center,4,307,1.3,4.73,clinic-name,4-10
franciscan pain management,4,305,1.31,10.19,generic,11-20
pain clinic lexington ky,4,299,1.34,41.78,city-state,21+
pain clinic columbus ohio,4,298,1.34,32.84,city-state,21+
integrated pain management elgin,4,297,1.35,3.82,generic,4-10
center for complex pain care reviews,4,290,1.38,10.4,clinic-name,11-20
mercy pain management doctors,4,290,1.38,15.87,generic,11-20
pain clinics cookeville tn,4,278,1.44,7.51,city-state,4-10
complex pain management,4,269,1.49,5.37,generic,4-10
pain relief center on dixie highway,4,268,1.49,6.84,clinic-name,4-10
dr el khatib,4,263,1.52,7.81,clinic-name,4-10
arizona pain | scottsdale mountain view,4,262,1.53,5.78,city-state,4-10
dr franiak,4,261,1.53,9.33,clinic-name,4-10
central valley pain management tulare,4,260,1.54,5.55,generic,4-10
adam wallace md,4,254,1.57,7.42,city-state,4-10
knee pain centers of america reviews,4,252,1.59,8.99,condition,4-10
vitruvian health ionia,4,251,1.59,4.16,clinic-name,4-10
dr tada,4,249,1.61,9.81,clinic-name,4-10
national spine and pain center richmond va,4,245,1.63,9.8,city-state,4-10
central valley pain management,4,242,1.65,10.32,generic,11-20
pain management associates wichita ks,4,240,1.67,10.89,city-state,11-20
waters edge pain clinic,4,238,1.68,7.66,clinic-name,4-10
regen doctors allentown,4,236,1.69,6.04,generic,4-10
nexus orthopedics,4,235,1.7,6.14,generic,4-10
allison gorski,4,234,1.71,11.11,generic,11-20
denver diagnostic pain,4,233,1.72,16.91,generic,11-20
carolina spine and pain anderson sc,4,232,1.72,6.02,city-state,4-10
premier spine and pain clinic,4,230,1.74,41.62,clinic-name,21+
"1330 oak lane suite 202 lynchburg, va 24503",4,228,1.75,4.22,city-state,4-10
skyline pain management,4,226,1.77,8.67,generic,4-10
neuragenex,4,225,1.78,8.48,generic,4-10
pain management cherry hill,4,225,1.78,35.66,generic,21+
reid pain management richmond indiana,4,217,1.84,5.23,city-state,4-10
optimal pain and wellness van buren arkansas,4,214,1.87,5.8,city-state,4-10
dr malinowski,4,212,1.89,6.29,clinic-name,4-10
dr wilson chang,4,212,1.89,10.27,clinic-name,11-20
cox pain management springfield mo,4,207,1.93,7.95,city-state,4-10
